Exp_Username,Exp_Date,Exp_Response*Response,Exp_Response*Accuracy,Exp_Response*trial_RT,Exp_Response*Object,Exp_Response*DMT_Trial,Exp_Response*Type,Exp_Response*Room,Exp_Response*Reward
9999,2025-10-21,1,0,877.1605836227536,../run_exp/static/images/probes/probes-63.png,0,2,"['../run_exp/static/images/miscellaneous/source_question.png', '../run_exp/static/images/miscellaneous/cargo_ship.png', '../run_exp/static/images/probes/probes-63.png', '../run_exp/static/images/contexts/source_1_beach.png', '../run_exp/static/images/contexts/source_2_forest.png', '../run_exp/static/images/contexts/source_3_mountain.png', '../run_exp/static/images/contexts/source_4_beach.png', '../run_exp/static/images/contexts/source_5_forest.png', '../run_exp/static/images/contexts/source_6_mountain.png']",-1
9999,2025-10-21,1,0,485.32562516629696,../run_exp/static/images/probes/probes-78.png,1,2,"['../run_exp/static/images/miscellaneous/source_question.png', '../run_exp/static/images/miscellaneous/cargo_ship.png', '../run_exp/static/images/probes/probes-78.png', '../run_exp/static/images/contexts/source_1_beach.png', '../run_exp/static/images/contexts/source_2_forest.png', '../run_exp/static/images/contexts/source_3_mountain.png', '../run_exp/static/images/contexts/source_4_beach.png', '../run_exp/static/images/contexts/source_5_forest.png', '../run_exp/static/images/contexts/source_6_mountain.png']",-1
9999,2025-10-21,5,0,203.27683305367827,../run_exp/static/images/probes/probes-27.png,2,2,"['../run_exp/static/images/miscellaneous/source_question.png', '../run_exp/static/images/miscellaneous/cargo_ship.png', '../run_exp/static/images/probes/probes-27.png', '../run_exp/static/images/contexts/source_1_beach.png', '../run_exp/static/images/contexts/source_2_forest.png', '../run_exp/static/images/contexts/source_3_mountain.png', '../run_exp/static/images/contexts/source_4_beach.png', '../run_exp/static/images/contexts/source_5_forest.png', '../run_exp/static/images/contexts/source_6_mountain.png']",-1
9999,2025-10-21,6,0,289.9744170717895,../run_exp/static/images/probes/probes-144.png,3,2,"['../run_exp/static/images/miscellaneous/source_question.png', '../run_exp/static/images/miscellaneous/cargo_ship.png', '../run_exp/static/images/probes/probes-144.png', '../run_exp/static/images/contexts/source_1_beach.png', '../run_exp/static/images/contexts/source_2_forest.png', '../run_exp/static/images/contexts/source_3_mountain.png', '../run_exp/static/images/contexts/source_4_beach.png', '../run_exp/static/images/contexts/source_5_forest.png', '../run_exp/static/images/contexts/source_6_mountain.png']",-1
9999,2025-10-21,6,0,525.7533336989582,../run_exp/static/images/probes/probes-108.png,4,2,"['../run_exp/static/images/miscellaneous/source_question.png', '../run_exp/static/images/miscellaneous/cargo_ship.png', '../run_exp/static/images/probes/probes-108.png', '../run_exp/static/images/contexts/source_1_beach.png', '../run_exp/static/images/contexts/source_2_forest.png', '../run_exp/static/images/contexts/source_3_mountain.png', '../run_exp/static/images/contexts/source_4_beach.png', '../run_exp/static/images/contexts/source_5_forest.png', '../run_exp/static/images/contexts/source_6_mountain.png']",-1
9999,2025-10-21,6,1,315.69087505340576,../run_exp/static/images/probes/probes-50.png,5,2,"['../run_exp/static/images/miscellaneous/source_question.png', '../run_exp/static/images/miscellaneous/cargo_ship.png', '../run_exp/static/images/probes/probes-50.png', '../run_exp/static/images/contexts/source_1_beach.png', '../run_exp/static/images/contexts/source_2_forest.png', '../run_exp/static/images/contexts/source_3_mountain.png', '../run_exp/static/images/contexts/source_4_beach.png', '../run_exp/static/images/contexts/source_5_forest.png', '../run_exp/static/images/contexts/source_6_mountain.png']",-1
9999,2025-10-21,1,0,69.34170797467232,../run_exp/static/images/probes/probes-111.png,6,2,"['../run_exp/static/images/miscellaneous/source_question.png', '../run_exp/static/images/miscellaneous/cargo_ship.png', '../run_exp/static/images/probes/probes-111.png', '../run_exp/static/images/contexts/source_1_beach.png', '../run_exp/static/images/contexts/source_2_forest.png', '../run_exp/static/images/contexts/source_3_mountain.png', '../run_exp/static/images/contexts/source_4_beach.png', '../run_exp/static/images/contexts/source_5_forest.png', '../run_exp/static/images/contexts/source_6_mountain.png']",-1
9999,2025-10-21,0,1,2720.1729584485292,../run_exp/static/images/probes/probes-10.png,7,2,"['../run_exp/static/images/miscellaneous/source_question.png', '../run_exp/static/images/miscellaneous/cargo_ship.png', '../run_exp/static/images/probes/probes-10.png', '../run_exp/static/images/contexts/source_1_beach.png', '../run_exp/static/images/contexts/source_2_forest.png', '../run_exp/static/images/contexts/source_3_mountain.png', '../run_exp/static/images/contexts/source_4_beach.png', '../run_exp/static/images/contexts/source_5_forest.png', '../run_exp/static/images/contexts/source_6_mountain.png']",-1
9999,2025-10-21,0,0,1061.5844167768955,../run_exp/static/images/probes/probes-118.png,8,2,"['../run_exp/static/images/miscellaneous/source_question.png', '../run_exp/static/images/miscellaneous/cargo_ship.png', '../run_exp/static/images/probes/probes-118.png', '../run_exp/static/images/contexts/source_1_beach.png', '../run_exp/static/images/contexts/source_2_forest.png', '../run_exp/static/images/contexts/source_3_mountain.png', '../run_exp/static/images/contexts/source_4_beach.png', '../run_exp/static/images/contexts/source_5_forest.png', '../run_exp/static/images/contexts/source_6_mountain.png']",-1
9999,2025-10-21,1,0,117.55700036883354,../run_exp/static/images/probes/probes-170.png,9,2,"['../run_exp/static/images/miscellaneous/source_question.png', '../run_exp/static/images/miscellaneous/cargo_ship.png', '../run_exp/static/images/probes/probes-170.png', '../run_exp/static/images/contexts/source_1_beach.png', '../run_exp/static/images/contexts/source_2_forest.png', '../run_exp/static/images/contexts/source_3_mountain.png', '../run_exp/static/images/contexts/source_4_beach.png', '../run_exp/static/images/contexts/source_5_forest.png', '../run_exp/static/images/contexts/source_6_mountain.png']",-1
9999,2025-10-21,-1,-1,3000,../run_exp/static/images/probes/probes-117.png,10,2,"['../run_exp/static/images/miscellaneous/source_question.png', '../run_exp/static/images/miscellaneous/cargo_ship.png', '../run_exp/static/images/probes/probes-117.png', '../run_exp/static/images/contexts/source_1_beach.png', '../run_exp/static/images/contexts/source_2_forest.png', '../run_exp/static/images/contexts/source_3_mountain.png', '../run_exp/static/images/contexts/source_4_beach.png', '../run_exp/static/images/contexts/source_5_forest.png', '../run_exp/static/images/contexts/source_6_mountain.png']",-1
9999,2025-10-21,5,0,1302.079124841839,../run_exp/static/images/probes/probes-101.png,11,2,"['../run_exp/static/images/miscellaneous/source_question.png', '../run_exp/static/images/miscellaneous/cargo_ship.png', '../run_exp/static/images/probes/probes-101.png', '../run_exp/static/images/contexts/source_1_beach.png', '../run_exp/static/images/contexts/source_2_forest.png', '../run_exp/static/images/contexts/source_3_mountain.png', '../run_exp/static/images/contexts/source_4_beach.png', '../run_exp/static/images/contexts/source_5_forest.png', '../run_exp/static/images/contexts/source_6_mountain.png']",-1
